Hotel,City,Address,Contact,Room Type,Total Rooms,Sunday_Tariff,Monday_Tariff,Tuesday_Tariff,Wednesday_Tariff,Thursday_Tariff,Friday_Tariff,Saturday_Tariff
RAMAPPA,RAMMAPPA,"Haritha Hotel Ramappa, Ramappa, Warangal Rural District, Telangana",8686949515,A/C DELUXE (NEW),6,1800,1500,1500,1500,1500,1800,1800
RAMAPPA,RAMMAPPA,"Haritha Hotel Ramappa, Ramappa, Warangal Rural District, Telangana",8686949515,A/C ROOM (OLD),2,1500,1300,1300,1300,1300,1500,1500
SHAMIRPET LAKE RESORT,SHAMIRPET,"Haritha Hotel Shamirpet, Shamirpet, Medchal Malkajgiri District, Telangana",9553586349,A/C Lake View,5,2000,2000,2000,2000,2000,2000,2000
SHAMIRPET LAKE RESORT,SHAMIRPET,"Haritha Hotel Shamirpet, Shamirpet, Medchal Malkajgiri District, Telangana",9553586349,A/C ROOM,6,1800,1800,1800,1800,1800,1800,1800
SHAMIRPET LAKE RESORT,SHAMIRPET,"Haritha Hotel Shamirpet, Shamirpet, Medchal Malkajgiri District, Telangana",9553586349,NON A/C ROOM,2,1399,1399,1399,1399,1399,1399,1399
SINGOOR,SINGOOR,"Haritha Hotel Singoor, Singoor, Sanga Reddy District, Telangana",9951968300,A/C ROOM,3,1350,1350,1350,1350,1350,1350,1350
SINGOOR,SINGOOR,"Haritha Hotel Singoor, Singoor, Sanga Reddy District, Telangana",9951968300,NON A/C ROOM,4,999,999,999,999,999,999,999
SINGOTAM HARITHA HOTEL,SINGOTAM,"Singotam, Mahbubnagar",9133322542,NON A/C DORMITORY,3,999,999,999,999,999,999,999
SOMASILA HARITHA HOTEL,SOMASILA,"Haritha Hotel Somasila, Somasila, Mahabubnagar District, Telangana",9133322542,DORMITORY TWO BEDDED (OLD),1,500,500,500,500,500,500,500
SOMASILA HARITHA HOTEL,SOMASILA,"Haritha Hotel Somasila, Somasila, Mahabubnagar District, Telangana",9133322542,NEW COTTAGES A/C ROOMS,7,2000,1800,1800,1800,1800,2000,2000
SOMASILA HARITHA HOTEL,SOMASILA,"Haritha Hotel Somasila, Somasila, Mahabubnagar District, Telangana",9133322542,NEW NON A/C ROOMS,2,1200,999,999,999,999,1200,1200
SOMASILA HARITHA HOTEL,SOMASILA,"Haritha Hotel Somasila, Somasila, Mahabubnagar District, Telangana",9133322542,NEW NON A/C DORMITORY(4 BEDDED) ROOM,5,2016,2016,2016,2016,2016,2016,2016
SOMASILA HARITHA HOTEL,SOMASILA,"Haritha Hotel Somasila, Somasila, Mahabubnagar District, Telangana",9133322542,A/C ROOM (OLD),1,900,900,900,900,900,900,900
SOMASILA HARITHA HOTEL,SOMASILA,"Haritha Hotel Somasila, Somasila, Mahabubnagar District, Telangana",9133322542,NON A/C ROOM  (OLD),1,599,599,599,599,599,599,599
TADVAI HARITHA HOTEL,TADVAI,"Tadvai, Jayashankar District",9493549399,NON A/C ROOM,26,999,999,999,999,999,999,999
TADVAI HARITHA HOTEL,TADVAI,"Tadvai, Jayashankar District",9493549399,A/C ROOM,2,1785,1785,1785,1785,1785,1785,1785
"TARAMATI BARADARI,HARITHA,IBHRAHIMBAGH,HYDERABAD",HYDERABAD,"Haritha Taramati Baradari, Ibrahimbagh, Gandipet, Hyderabad",9848827102,A/C SUITE,5,2680,2680,2680,2680,2680,2680,2680
"TARAMATI BARADARI,HARITHA,IBHRAHIMBAGH,HYDERABAD",HYDERABAD,"Haritha Taramati Baradari, Ibrahimbagh, Gandipet, Hyderabad",9848827102,A/C STANDARD,24,2009,2009,2009,2009,2009,2009,2009
THE PLAZA,HYDERABAD,"The Plaza, Begumpet, Hyderabad",9553833316,A/C STANDARD,20,3328,3328,3328,3328,3328,3328,3328
VEMULAWADA HARITHA HOTEL,VEMULAWADA,"Haritha Hotel Vemulawada, Vemulawada, Rajanna Siricilla District, Telangana",8499830815,A/C ROOM,3,999,999,999,999,999,999,999
VEMULAWADA HARITHA HOTEL,VEMULAWADA,"Haritha Hotel Vemulawada, Vemulawada, Rajanna Siricilla District, Telangana",8499830815,NON A/C ROOM,4,599,599,599,599,599,599,599
VEMULAWADA HARITHA HOTEL,VEMULAWADA,"Haritha Hotel Vemulawada, Vemulawada, Rajanna Siricilla District, Telangana",8499830815,A/C DORMITORY 5 BEDDED,1,1680,1680,1680,1680,1680,1680,1680
VEMULAWADA HARITHA HOTEL,VEMULAWADA,"Haritha Hotel Vemulawada, Vemulawada, Rajanna Siricilla District, Telangana",8499830815,NON A/C DORMITORY 5 BEDDED,1,1000,1000,1000,1000,1000,1000,1000
"VIJAY VIHAR,NAGRJUNSAGAR",NAGARJUNA SAGAR,"Haritha Hotel Vijay Vihar, Nagarjunasagar, Nalgonda District, Telangana",9705188336,A/C SUITE,6,3700,2500,2500,2500,2500,3700,3700
"VIJAY VIHAR,NAGRJUNSAGAR",NAGARJUNA SAGAR,"Haritha Hotel Vijay Vihar, Nagarjunasagar, Nalgonda District, Telangana",9705188336,A/C DELUXE,8,2970,1870,1870,1870,1870,2970,2970
"VIJAY VIHAR,NAGRJUNSAGAR",NAGARJUNA SAGAR,"Haritha Hotel Vijay Vihar, Nagarjunasagar, Nalgonda District, Telangana",9705188336,A/C STANDARD,20,2400,1400,1400,1400,1400,2400,2400
"YADAGIRIGUTTA,NALGONDA,HARITHA HOTEL",YADAGIRIGUTTA,"Haritha Hotel Yadagirigutta, Yadadri Bhuvanagiri District, Telangana",9848823074,A/C ROOM,7,1815,1650,1650,1650,1650,1815,1815
"YADAGIRIGUTTA,NALGONDA,HARITHA HOTEL",YADAGIRIGUTTA,"Haritha Hotel Yadagirigutta, Yadadri Bhuvanagiri District, Telangana",9848823074,A/C DELUXE,3,2300,1700,1700,1700,1700,2300,2300
